Process,Rule,Description,Count,Timestamp
ESLint,react/no-danger,N/A,3,2025-01-06 23:51:18
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-06 23:51:18
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-06 23:51:18
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-06 23:51:18
ESLint,no-console,"We don't want a bunch of console noise, but you can use the `logger` from `@superset-ui/core` when there's a reason to.",29,2025-01-06 23:51:18
ESLint,react/forbid-foreign-prop-types,N/A,2,2025-01-06 23:51:18
ESLint,@typescript-eslint/no-use-before-define,N/A,8,2025-01-06 23:51:18
ESLint,jest/no-disabled-tests,N/A,7,2025-01-06 23:51:18
ESLint,no-alert,N/A,1,2025-01-06 23:51:18
ESLint,@typescript-eslint/no-unused-vars,N/A,58,2025-01-06 23:52:21
ESLint,jest/expect-expect,N/A,77,2025-01-06 23:52:21
ESLint,react-prefer-function-component/react-prefer-function-component,We prefer function components to class-based components,77,2025-01-06 23:52:21
ESLint,react-hooks/exhaustive-deps,N/A,234,2025-01-06 23:52:21
ESLint,react/no-danger,N/A,3,2025-01-06 23:52:21
ESLint,testing-library/no-debugging-utils,N/A,2,2025-01-06 23:52:21
ESLint,storybook/prefer-pascal-case,N/A,42,2025-01-06 23:52:21
ESLint,storybook/no-redundant-story-name,N/A,2,2025-01-06 23:52:21
